Founded Year,Company,Employees,Website,Industry,Keywords,SEO Description
2015,Webcubator Technologies,34,http://www.webcubator.co,information technology & services,"responsive web design, drupal consulting, web development, digital marketing, responsive ui, ux, aegir deployment, migration & life cycle, php, html5, css3, js, adobe suite, machine learning, artificial intelligence, mobile development, startup technology partner, business consulting, webcubation, digital design, cloud aws, azure, rackspace, heroku, pantheon, 3rd party api development, integration, headless applications, hybrid mobile development","Webcubator is your technology incubator for Web, Mobile & Machine Learning Applications. A team of experienced and professional web ninjas."
2015,Xsquare Technology,14,http://www.xsquaretec.com,information technology & services,"laravel, node js, angular js, codeigniter, mobile application development, twilio apis, plivo apis, wordpress, ux, ui design, backend rest apis, hybrid apps development","XSquare technology was founded in 2013 with the core mission of providing high-quality design, web solutions that work, and personal service."
2015,Mahardhi Technologies,28,http://www.mahardhi.com,information technology & services,"web development, moblie applications development, web, mobile hybrid development, software development","We offer CRM Services (Salesforce & Veeva), Complete eCommerce Solutions, and provide excellent services in Web, Mobile development."
2015,Solarc Energy,11,http://www.solarcenergygroup.com,machinery,"plumbing engineering, energy auditing, mechanical engineering, design, retrocommissioning, measurement & verification, energy analysis, energy modeling, commissioning","We provide professional services associated with building energy efficiency analysis, commissioning, and mechanical engineering. Find out how our energy efficiency services can save your business money."
2015,Cambium Retail,27,http://www.cambiumretail.com,retail,"online seller, e commerce, amazon seller, flipkart seller",Leading 3P seller on Amazon India. Among the top 20 sellers with a 98% positive feedback rating. Felicitated with the title 'King of Sales'.
2015,Byte & Bits,13,http://www.byteandbits.com,information technology & services,"seo, vue js, ecommerce solutions, web design development, web design amp development, laravel, logo design",At Byte and Bits we offer Web and Mobile design and development services for every kind of business. we are specialised in providing solutions to help our customers get the best output of their business
2015,Sourceved Technologies,24,http://www.sourceved.com,information technology & services,"sitecore development, aspnet development, umbraco development, ios development, sitecore commerce development, sitecore migration, sitecore upgrade, helix, habitate, sitecore with ucommerce, next, react, sitecore xm cloud, sitecore commerce, sitecore order cloud, sitecore with nopcommerce, sitecore cdp, sitecore content hub, contentful, sitefinity, node",Sourceved : Your Premier Sitecore CMS Services Provider and Sitecore Solution Partner. Call us for expert guidance.
2015,Indrones,78,http://www.indrones.com,aviation & aerospace,"data, drones, gis, uas, aerospace, drone data services, mapping, precision agriculture, uav, drone mapping, uav survey, lidar, remotely piloted aerial vehicles, unmanned aerial vehicles, drone survey, agisoft, mining, construction","Indrones is one of the leading drone manufacturers & a cutting-edge drone
  service provider in India, offering digital solutions for multiple industries. Discover
  our state-of-the-art airborne technology for unsurpassed accuracy and
  effectiveness."
2015,mirrAR,51,http://www.mirrar.com,information technology & services,"fashion, augmented reality, social network, lifestyle, information technology, virtual tryons, jewellery, online shopping, ecommerce, retail industry, jewellery industry, beauty industry, technology, ai, ar, jewelry, retail technology, accessories, eyewear, skin analysis, eretail, instore shopping, shopping technology, customer engagement, customer experience, ar tech, artificial intelligence, retail innovation",mirrAR's AR try on software. Discover seamless virtual try on experiences and advance AR software for immersive customer engagement
2015,Enkefalos Technologies,49,http://www.enkefalos.com,insurance,"machinelearning, artificial intelligence, llm, ai, llmops","Discover how Enkefalos Technologies is transforming the insurance industry with innovative AI solutions, data engineering, and application engineering."
2015,Honey Twigs,15,http://www.honeytwigs.co,food & beverages,"honey, food services, retail, packaging","We, at Honey Twigs, love challenges and so weâ€™ve come up with unique ways on how to serve this golden liquid."
2015,Instavans,45,http://www.instavans.com,logistics & supply chain,"logistics, saas, tms, marketplace, smartruck",Home Screen
2015,Loanadda,37,http://www.loanadda.com,financial services,"financial services, fin tech, banking, loans, finance, home loan, loan against property, working capital loans, unsecured loan","LoanAdda is an online platform for finding the best fit loan for your needs. So whether it is a Personal Loan, Home Loan, Loan Against Property or Business Loan that your are looking for, visit us for an expert backed solution."
2015,Favcy,65,http://www.favcy.com,information technology & services,"venture building, venture building platform, converting idea to venture, founder first, capital ecosystem, startup know how ecosystem, tech platform, data platform, saas, api ecosystem",We Co-Build with you
2015,Cyclops Medtech,28,http://www.cyclopsmedtech.com,medical devices,"medical technology, eye tracking & imaging, wearable & clinical devices, dizziness, neurology, artificial intelligence","Cyclops Medtech vestibular solutions has a portfolio of products for vestibular assessment and rehabilitation including VNG, VOG, DVA, vHIT, VRT etc."
2015,Bigly,13,http://www.bigly.io,internet,"resellapp, outsource online business, online seller solutions, ecommerce, marketplaces management services, taxation, product listing, reselling, wordpressplugin, earnmoneyonline, cataloging services, online sellers, fba, online services","Explora cÃ³mo las innovaciones tecnolÃ³gicas estÃ¡n transformando el mundo digital, mantente al dÃ­a con las tendencias clave y descubre estrategias para aprovechar el futuro tecnolÃ³gico."
2015,ShabdaNagari,22,http://www.shabd.in,internet,"social media, mobile, content, local, information technology, consumer internet, media, internet","Read English Books, Stories and Poems. Popular and Best Romance Books, Suspense and Thriller Books, Create Account on shabd.in & Read For Free."
2015,Machadalo,30,http://www.machadalo.com,information technology & services,"advertising, offline advertising, targeted advertising, online advertising, data science, digital marketing, ecommerce, chatbot technology, whatsapp, platforms, crm, lead generation, ai, ml",Home
2015,SmatBot-Subsidiary of ByteQuark,31,http://www.smatbot.com,information technology & services,"instagram chatbots, ai chatbots, whatsapp chatbots, multilingual chatbots, voice bots, messenger chatbots, customer support, lead capturing, conversational ai, chatbots, omnichannel ai chatbots, chatgpt bots, ecommerce chatbots, appointment booking bots, 247 support, automation","Chatbots, AI chatbot, Chatbot for Website, AI Bot, Customisable Chatbot, Free Chatbot"
2015,Rapidor,26,http://www.rapidor.co,information technology & services,"financial services, small & medium businesses, fin tech, trading, finance, mobile order management, inventory control, business dashboards, product catalogues, pricing, sales force management, sales targets, payments, collections, warehouse management",Power Your Business with Robust Management Software & Robotic Process Automation. Explore Rapidor for Next-Level Efficiency!
2015,Theta Technolabs,28,http://www.thetatechnolabs.com,information technology & services,"computer vision, artificial intelligence, iot, cloud services, business process automation, no code, startup solutions, enterprise solutions, mobile application development, web application development","Empower your business with our trusted software development company in Dallas, TX. Expert solutions tailored to your needs await. Get started now!"
2015,Savo Technologies,25,http://www.savotechnologies.com,information technology & services,"custom application development, website designing, development, mobile application development, integration services software, hardware, crm consulting",Savo Technologies| Web & Mobile Apps Development Company
2015,Ready To Succeed,40,http://www.readytosucceedla.org,nonprofit organization management,"job placement, workforce development, career counseling, professional development","Ready to Succeed is bridging the opportunity gap. RTS's mission is to inspire college students in underserved communities to unlock their potential by providing them with the coaching, connections, and community they need to launch their careers and thrive."
2015,Scrutiny Software Solutions Private Limited,14,http://www.scrutinysoft.com,information technology & services,"consulting, strategy, technology, management, operations","Scrutinysoft provides end to end services and solutions through Consulting,Technology,Strategies with strong Management and Operations."
2015,LocaGlobe,15,http://www.locaglobe.com,marketing & advertising,"digital marketing, seo, pay per click, social media marketing, startup consulting, performance marketing, growth marketing","LocaGlobe is a full-service digital marketing agency. We provide SEO, PPC, social media, web design and more."
2015,QuickMetrix - Online Reputation Management Tool,82,http://www.quickmetrix.com,information technology & services,"social media analytics, online reputation management, social media listening, influencer tracking, online branding solutions, orm solution, customer experience software, social media analytic software, crisis management, social publishing, social crm, competitor benchmarking, social scheduling software",A Unified Customer Experience Management Platform integrates social listening & online reputation management for streamlined customer interactions.
2015,Porcellia,11,http://www.porcellia.com,marketing & advertising,"millenial experts, marketing, digital marketing, content marketing, content writing, social media marketing, google advertising, btl, design & ui",Most marketing companies don't work for startups. So we designed one that does. We are category creation specialists that will accelerate the path to 10x your D2C brand.
2015,Aagneya Advertising,37,http://www.aagneyaadvertising.com,marketing & advertising,"advertising, communications, digital marketing, productions, branding","Host Aagneya Advertising is an independent minded, media agnostic and fully integrated creative advertising agency, based out of Gurgaon. We specialise in Branding, Design, Digital Marketing, New Launches, and tell purposeful stories for brands helping them build long lasting relationships with their target audiences."
2015,RedPencil Advertising,18,http://www.redpencil.co.in,marketing & advertising,"creative designs, advertising, branding, digital marketing, corporate video, tvc, product video, google adwords, social media management, onsite design studio, marketing strategy","Red Pencil is one of the best creative agencies in Bangalore. As a leading creative ad agency, we provide animation, video production and communication design services."
2015,Papasiddhi IT company,20,http://www.papasiddhi.com,information technology & services,"web application development, digital markeing, mobile application development, cms development, ecommerce development, saas based solutions development, ios development, android development, it consultancy, bigdata consultancy, hybrid apps, ionic, business it solutions, custom software, seo, wordpress, drupal, prestashop, magento, php, java, content writting, machine learning, python","Best Digital Marketing company in India | Best Digital Marketing Company in Udaipur India | Mobile Application Development, Web design company. We Specialized in Providing Digital Marketing Services includes PPC, SEO, and SMO, Android Application Development ,IOS Application Development, ERP software, web portal."
2015,3DM,63,http://www.3dm.agency,marketing & advertising,"search engine marketing, social media marketing, search engine optimisation, webdesigning, digital strategy, content marketing, consulting, strategy","3DM is a Google Partner, Best Digital Marketing Agency in Hyderabad offering 360 degree Digital Marketing Solutions. Social Media Marketing, SEO, SEM, Web Development, E-mail marketing, Graphic Designing, App Promotions & Branding."
2015,Initfusion,63,http://www.initfusion.com,information technology & services,"iphone application development, mobile apps & games development, search engine optimization, android application development, website design, development","Initfusion is a mobile application company with 8+ year of experience in Android, iOS, web app development. Best unity 3D Game development company in India."
2015,Cart Geek,33,http://www.cart-geek.com,information technology & services,"multi channel managment, premium website development, ecommerce, online marketing, magento development, logo designing, corporate ppt, domain hosting, professional services",Cart Geek always recommends highly customized solutions. We strive to create successful results & long-term benefits for our customers.
2015,Dream Steps Technologies Pvt Ltd,45,http://www.thedreamsteps.com,information technology & services,"web design, graphics design, web development, android development, ios development, seo service","Dream Steps is a leading Web Development Company in India that offers Web Design, App Development, and Web Development Services. Know more!."
2015,The Night Marketer,13,http://www.thenightmarketer.com,information technology & services,"social media, ecommerce, seo, website, search marketing, consumer internet, internet, search, information technology, website development, social media marketing, mobile app development, design, website design, shopify development, react native, react js, node js, wordpress, woocommerce, angular, php, laravel, google ads, facebook ads","Transform your digital presence with The Night Marketer. Offering SEO, social media marketing, mobile app development, email marketing, and more. Partner with us for proven success and growth."
2015,Epic Web Techno,41,http://www.epicwebtechno.com,information technology & services,"e-commerce, web development, web design, seo, search marketing, consumer internet, internet, search, information technology, magento, crm, shopify, smo, android app development, ppc, ios app development, wordpress, cms, data entry, web application, internet marketing","Epic Web Techno is an award-winning digital marketing agency offering SEO, web design and development services across the globe. Get a free SEO audit today!"
2015,Oddeven Infotech,16,http://www.oddeveninfotech.com,information technology & services,"seo, magento, mobile app development, android, ios, responsive design, ecommerce, microsoft technologies, laravel, php, mobile app design, ui, ux design, figma, shopify, app development, web development, website design, sales froce","Oddeven Infotech Pvt Ltd Gandhinagar is providing IT outsourcing services Mobile Development, Web Development, UI/UX Design, E-commerce Website, SEO, SMO & PPC in Gujarat, India."
2015,APTLOGICA TECHNOLOGIES PRIVATE LIMITED,99,http://www.aptlogica.com,information technology & services,"mobile, education, web development, information technology, mobile application development, web application development, microsoft sharepoint, turnkey development, ui, ux, mobile learning, virtual reality, elearning, translations, c, net core, nodejs, angular, react, java springboot, instructional design, learning consulting, devops, cloud computing, cloud consulting, ionic, react native, adapt learning, adapt framework, mobile leanring, xapi, tincan","Aptlogica is a technology services company, focused on helping enterprises meet their digital transformation needs in the evolving world of application technologies and platforms."
2015,DesignCoz,29,http://www.designcoz.com,design,"ux design, ui design, mobile app, enterprise applications, web portals, responsive websites, marketing campaigns, graphics design, software design, front end development, iconography, workflows, seo friendly",Designcoz best UI UX Companies UAE helping firms transform innovative emerging technologies with our UI UX design. We provide impactful Digital Product Designing Services with measurable results.
2015,Atzos,18,http://www.atzos.com,information technology & services,"mobile, sports, information technology, sports networking, socializing, scheduling, sports search","We design and build easy-to-use digital products. Transform your idea into reality. Services offered - UI/UX design, software and mobile app development"
2015,Cahoot Technologies,31,http://www.cahoot-technologies.com,information technology & services,"it infrastructure management, web development, mobile app development, custom web application products, it consultancy, software development, cloud service, it project management, infrastructure as a service","Cahoot Technologies delivers advanced business applications and enterprise solutions in Gujarat, optimizing your operations with innovative technology."
2015,Sofineer,19,http://www.sofineer.com,information technology & services,"web designing, mobile app development, web development, seo","Web Design & Development for Growth. Attract & Convert More Customers. Craft a high-performing, user-friendly website that grows your business online."
2015,Labkafe,37,http://www.labkafe.com,government administration,"healthcare, retail technology, science, enterprise software, software, information technology, ecommerce, lab equipment, chemicals, glassware, office furniture, lab furniture, classroom furniture, physics, chemistry, biology, pharmacy, engineering","Labkafe is the leading manufacturer of laboratory equipment, lab furniture, and lab apparatus in India. | Lab equipment | Lab furniture | STEM kits | Registered OEM on GeM"
2015,Philomath Research,38,http://www.philomathresearch.com,market research,"market research, qualitative, quantitative, online research, b2b research, b2c research, healthcare research, ad tracking, brand tracking, product testing, voc, concept testing, market sizing, forecasting, mystery shopping, car clinic, eye tracking, hcps panel, patients panel, vet panel, panel company","Philomath Research is one of the fastest-growing market research Companies, we help to grow your business faster with our market research services."
2015,Mobzway Technologies,68,http://www.mobzway.com,computer games,"mobile games, games, video games, educational games, social casino games, consumer internet, mobile, information technology, internet, poker, casino games, 2d, 3d games, unity3d development, game development, teen patti game development, poker game development, casino game development, card game development","Mobzway is one of the top gaming software development company in India. We are custom poker, casino, rummy, Ludo, and Teen Patti gaming software providers."
2015,Applylegal,14,http://www.applylegal.com,financial services,"finance, accounts, business solutions, gst, income tax, transaction advisory, mergers, funding, startups, rera",Start typing to search for a topic in our website.
2015,Resham Sutra,13,http://www.reshamsutra.com,machinery,"silk reeling machines, weaving machines, solar machines, rural livelihood machines, new product design & development, rural innovation lab",Resham Sutra
2015,ATZ,70,http://www.atzsalestech.com,marketing & advertising,"account profiling, demand generation, online lead generation, b2b lead generation, email appends, abm, list building & email marketing, marketing automation, data research, email marketing, lead generation, content syndication, lead nurturing, email marketing services, list building, b2b marketing solutions, white papercontent syndication, appointment generation, roi marketing & sales strategies, webinar promotion, intent based marketing, container management, b2b marketing company, inbound marketing, market research solution, account based marketing, market research","CREATE RELATIONSHIPS AND GENERATE LEADS: Additional to lead generation With the aid of ATZ SalesTech Solutions, you may establish lasting, profitable connections with your clients."
2015,Orion Infosolutions,30,http://www.orioninfosolutions.com,computer games,"software development, custom software development, mobile game development, custom web development, php web development, iot development, android app development, website development, metaverse development, crypto excahnage software, casino game development, cryptocurrency development, angularjs web development, chatbot development, website design, java development, ecommerce solution, js frameworks development, api services, digital marketing, payment gateway services","Orion InfoSolutions is a best mobile app development company jaipur and we make application in android, iOS, react native and flutter."
2015,AOX AppsÂ®,14,http://www.aoxapps.com,information technology & services,"custom mobile application development, web development, ui, ux development, consumer, enterprise mobile design, development, software solutions for startups, digital marketing solutions seo, smo, ppc, orm, smm, aso, apo, on demand app development, food delivery app development, taxi app, uber like app, uber for x, pickup & delivery apps, android app development, ios app development, minimum viable product for startups, app monetization & engagement, react native applications development, magento development, php, wordpress, mean, mern, shopify","We provide premium custom mobile application solutions and web development services at competitive prices, serving clients in New York, across the US, and the UK."
2015,Rebin Infotech,38,http://www.rebininfotech.com,information technology & services,"custom software development, website design, development, mobile apps development, search engine optimization, ecommerce website development, software support, maintenance","Efficient & User-Friendly Applications Mobile App Development, Digital Marketing, Web Development Solutions Crafted Out Of Experience To Be Smart Know More Our Clients About Rebin We Tailor Solutions To Make Businesses Super Efficient & Drive Growth We are a group of passionate developers and creative programmers dedicated to offering cutting-edge solutions and services to businesses,"
2015,TurningCloud,42,http://www.turningcloud.com,information technology & services,"information technology, cloud applications, cloud platform, cloud services, google apps, product development, digital integration, it services, mobile & web app development, enterprise solutions",TurningCloud develops the best enterprise solutions in the form of custom mobile and web application services in all latest technologies. It also deals in digital integrations services and cloud migrations services in India.
2015,Aspiring Resolutions,38,http://www.aspiringresolutions.com,information technology & services,"web designing, web application development, smo, photographyvideography, business videos, web development, seo, business marketing, digital marketing, online marketing","Aspiring Resolutions is One stop solution for all types of Website Designing Services which is located in Hyderabad, India. We Provide creative Website Development Services and Digital Marketing Services. Our Aim is to make people aware what is importance of website design today in this era. Aspiring Resolutions is Fastest growing Web Development Company, who is only doing project with creativity and we always make sure to match all the parameter for upcoming Technology in the world."
2015,Rudder Analytics,47,http://www.rudderanalytics.com,management consulting,"analytics, retail analytics, financial analytics, sports analytics, telecom analytics, big data, statistical modeling, bi, kpi dashboards, marketing analytics, sports prediction models, pricing & promotion analysis, customer churn analysis, tableau, klipfolio","End-to-end data analytics, business intelligence and ML&AI solutions for your business' digital transformation and competitive advantage."
2015,BabyChakra,38,http://www.babychakra.com,"health, wellness & fitness","education, health & wellness, communities, childcare, social media, consumer internet, internet, information technology, parenting, mom baby marketing, mothers, baby products, child services, hyper local content, discovery","Shop for India's 1st Certified Baby Safe, Organic Products for Moms & Babies. Co-Created with doctors & moms. You can get Parenting & Baby Care tips from our team of experts on BabyChakraâ€™s Website & App."
2015,NewsBytes,62,http://www.newsbytesapp.com,online media,"digital media, mobile advertising, news, content delivery, advertising, media, consumer internet, internet, information technology, nlp","NewsBytes is India's only explanatory news portal, designed for mobile-first audience. Get the latest news about India, Technology, Bollywood, and Cricket."
2015,Pixel Point Technology,11,http://www.pixelpointtechnology.com,information technology & services,"mobile ui designing, swift, ipad app development, website design, ios app development, ionic, wordpress, digital marketing, android app development, php, nodejs, web development, web design, cakephp, mongodb, website development, laravel, react native, react, mobile application development, mysql, angular",Pixel Point Technology is a Mobile App Development Company in India & UAE. We provide service hire a dedicated app developer in india.
2015,Carnot,81,http://www.carnot.co.in,information technology & services,"internet of things, artificial intelligence, agriculture, deep information technology, information technology",Carnot technologies is an agri-tech company backed by Mahindra & Qualcomm. It powers farming decisions using data science. It's flagship products Simha Kit helps tractor owning farmers make up to 30% more income via their tractors and KrishiDiary app allows farmers improve productivity by up to 20%
2015,BlueSapling,19,http://www.bluesapling.com,information technology & services,"enterprise software, financial software, mis, erp, custom development",BlueSapling is a technology consulting company serving clients with intelligent enterprise software and data analytics solutions.
2015,Immidart Technologies LLP,76,http://www.immidart.com,information technology & services,"product development, enterprise applications, corporate immigration, employee mobility, global mobility, enterprise saas for global mobility, case management tool",Immidart offers Enterprise SaaS for global mobility which helps companies across the world to automate their immigration processes
2015,Stylumia Intelligence Technology Pvt Ltd,53,http://www.stylumia.ai,information technology & services,"fashion, fashion tech, trend forecasting, demand sensing, fashion ai, fashion forecasting, consumer intelligence, assortment planning, demand planning, true demand, predictive analytics, inventory optimization, distribution planning, retail analytics, fashion intelligence, fashion analytics, demand forecasting, sustainable fashion, demand science, assortment optimization, merchandise optimization, allocation optimization, trend prediction, trend analysis, trend research","Boost your fashion business with Stylumiaâ€™s AI-driven trend forecasting and demand prediction. Improve sales, reduce waste, maximize full-price sell-through"
2015,VDOIT,94,http://www.vdoitech.com,information technology & services,"internet of things, mobile advertising, restaurants, hospitality, advertising, consumer internet, internet, information technology, mobile solutions, product development, digital marketing, ibm cloud, mern, mean, react, angular, flutter, web 30, blockchain, metaverse, chatgpt, generative ai, conversational ai, ai, ml, tableau, artificial intelligence, web apps, business intelligence, cyber security","VDOIT Technologies is a proficient IT Service company offering cutting-edge AI development services, solutions and applications. Also we help you to choose and manage your cloud infrastructure."
2015,Hubhopper,53,http://www.hubhopper.com,information technology & services,"social media, digital media, content discovery, consumer internet, internet, information technology, content publishing, app development, analytics, tech, podcasts, news, media",Reach 10000+ of listeners and monetize your content with the #1 podcast hosting platform. Launch your podcast with Hubhopper today.
2015,The Gene Box,17,http://www.thegenebox.com,"health, wellness & fitness","health & wellness, biotechnology, health & insurance, genetic testing, life sciences, genomics, health technology, reporting, microbiome, ai","The Gene Box is a pioneer in predictive analysis for wellness and research. With years of experience in genomics, we provide our partners with a data-to-reports platform and reporting analytics."
2015,Qdesq,58,http://www.qdesq.com,real estate,"e-commerce, real estate technology, consumer internet, internet, information technology, business listing, coworking space, private office, managed office, virtual office, meeting rooms, training rooms, multi city, on demand","Find your ideal workspace with Qdesq. Book coworking spaces, serviced offices, meeting rooms, virtual offices, and private offices in 3000+ locations on-demand."
2015,Paymart India,22,http://www.mypaymart.com,financial services,financial inclusion & financial products,Mypaymart.com
2015,Tripeur,12,http://www.tripeur.com,information technology & services,"mobile, enterprise software, artificial intelligence, travel, software, deep information technology, information technology, business travel, analytics, travel erp, machine learning, vendor management, budget management, gst reconciliation, approval management, corporate travel platform, business travel software, travel booking engine, travel policy management, self book interface, corporate travel, travel management services, travel software","Navan India (Formerly Tripeur) is India's Smartest, Integrated Platform for Corporates to Manage Expenses and Business Travel. Experience The Difference Now!"
2015,CapriCoast,41,http://www.capricoast.com,furniture,"e-commerce, consumer internet, internet, information technology, modular kitchens, wardrobes, modular furniture, custom design, home automation, home interior solutions",Plan your next island adventure with CapriCoast.com!
2015,Keansa Solutions,48,http://www.keansa.com,information technology & services,"healthcare, supply chain management, anaplan, supply chain, managed services, jedox, blackline, justperform, digital tranformation, fp, a, finance consolidation, s, op, accounting automation, process consulting, onestream","Planning, forecasting and analytics. Automate budgeting, streamline S&OP, disclose ESG, and optimise Supply Chain."
2015,JCS Hub,19,http://www.jcshub.com,information technology & services,"it consulting, outsourcing, enterprise application solutions, integration services, ecommerce, web application services, oracle, microsoft product implementations, advisory services, supply chain management solutions, microsoft dynamics solutions, sap cloud platform products, trade, logistics, distribution, sales, infrastructure services","JCS Hub delivers solutions that help drive transformation, improve productivity and streamline business operations. Our practical, innovative solutions are linked to measurable goals to help our clients."
2015,AIQoD 360,61,http://www.aiqod.com,information technology & services,"artificial intelligence, machine learning, iim, it, digital transformation, low code, intelligent document processing, analytics, automation, generative ai","AIQod is a Cognitive Data Extraction, Management, and Analytics Platform that helps you to accelerate your Digital Transformation journey with enhanced AI & ML capabilities"
2015,Itronix Solution,44,http://www.itronixsolution.com,information technology & services,"embedded systems, digital marketing, software development, networking & security","Itronix Solutions - Online Courses and Certifications available in Python, Data Science, Machine Learning, Deep Learning and AI"
2015,Big Data Centre of Excellence,31,http://www.bdcoe.co.in,information technology & services,"data analysis, web development, big data analytics, machine learning, aiml, mobile development, data visualization, uiux, data science","Big Data Centre of Excellence is a research and development centre of Ajay Kumar Garg Engineering College (AKGEC), Ghaziabad."
2015,Virtuoso Optoelectronics,94,http://www.voepl.com,electrical/electronic manufacturing,"manufacturing, white goods, acs, water heaters, led lighting, electronics circuits, boards, ems, idu","Virtuoso Optoelectronics Limited (VOEPL), a top manufacturer in nashik, Maharashtra, India that specialises in high-volume production of consumer white goods and industrial items. As an OEM and ODM provider, we excel at producing air conditioners and a wide range of other quality items."
2015,42Maru,35,http://www.42maru.ai,information technology & services,"big data, deep learning, information retrieval, ai, natural language understanding, machine reading comprehension, question answering, text analytics, cognitive search, information restructuring, conversational chatbot","AI-based cognitive search, chatbots and smart devices. Insight engine and conversational tools based on Deep Learning, semantic, paraphrasing and NLU."
2015,Northstar Clean Technologies,16,http://www.northstarcleantech.com,environmental services,"cleantech, clean technology, environmental services, recycling",Northstar Clean Technologies Inc. is a Vancouver-based clean technology and recycling company focused on the recovery of components from asphalt shingles.
2015,Finbee,33,http://www.finbee.lt,financial services,"lending, p2p, crowd funding, investing, sme finance, peer 2 peer",Finbee is the first peer-to-peer lending platform to loan to small- and medium-sized businesses in Lithuania.
2015,Argonaute RNA,11,http://www.argonauterna.com,research,"biotechnology, rna interference, gene therapy",Developing safe and reliable methods of temporarily silencing target genes in different tissue cells.
2015,Buymediaspace,13,http://www.buymediaspace.com,marketing & advertising,"advertising, advertising platforms, local advertising, consumer internet, internet, information technology, outdoor advertising, newspaper advertising, cinema advertising, radio advertising, newspaper classified advertising","Buymediaspace is an Ad Booking Agency in India, offering Newspaper, Outdoor and Cinema Advertisement at lowest rates & discounts with best service. Book Now Online."
2015,Duple IT Solutions,43,http://www.dupleit.com,information technology & services,"online application solutions, android development, software develoment, website development, artificial intelligence, digital marketing, hybrid application development, erp, crm, performance marketing, mobile app development, ui, ux designing, after effects","Duple IT Solutions, the best IT Consultant in India Canada USA that offers top IT solutions like web design development, SEO SMM PPC, artificial intelligence."
2015,Digitalberge,25,http://www.digitalberge.com,marketing & advertising,"seo, smo, ppc, website design & development, orm, ad film production, tvc making, corporate video production, video production, brand management, celebrity profile management, amazon seo services",DigitalBerge â€“ Indiaâ€™s leading digital marketing company known for its comprehensive range of digital marketing services. Call +91-9958992928 now to get a free quote.
2015,Admatazz,52,http://www.admatazz.co.in,marketing & advertising,"social media marketing, digital media strategy, online ad budget management, campaign creation, lead generation",Looking for the best digital marketing & advertising agency? We have a wealth of experience across all industries in helping brands grow digitally.
2015,AntPuppet Mediatech,18,http://www.antpuppet.com,information technology & services,"branding, media promotions, website design & development, mobile app design, development, digital marketing, seo, smo, sem, smp","Kochi's favorite branding company, Antpuppet is one of the best branding companies in Kochi, Kerala gives you the platform to enhance your brand message."
2015,Fortune Events & Advertising,23,http://www.fortuneadvertising.in,marketing & advertising,"btl, dealer board, inshop, event, road show, hoarding, bus branding, cab branding, dhaba branding, mela participation, rural activation, rural visiblity, wall painting, exhibitions, 3d designing, creative design, rwa, mall, corporate activity, stall fabrication, store branding, product launch, corporate tour","Fortune Events & Advertising (FEA) having its expertise in BTL activation in more than Villages Towns States Villages Towns States With unwavering dedication and commitment to excellence, our agency has garnered strong support from a diverse range of clients, establishing us as the top BTL activation agency in India, particularly in North India. Our unparalleled"
2015,Brandconn Digital Pvt Ltd,64,http://www.brandconn.com,marketing & advertising,"digital strategy, digital marketing, search engine optimisation, search marketing, ppc campaign, online reputation management, content writing services, content marketing, web design, web development, wordpress developers","Brandconn Digital, the leading digital marketing company in India caters SEO, SMO, PPC, ORM, and more that allows companies to gain brand recognition."
2015,Prime Technosoft,41,http://www.primentotechnologies.com,information technology & services,"web development, digital marketing, graphic design, branding, web design, seo",Primento Technologies is a Digital Marketing and Web Development agency in surat india. Worldwide we help businesses gain more leads and brand awareness.
2015,Techmatic Systems,97,http://www.techmaticsys.com,information technology & services,"software development, product support, artifical intelligence, mobile app development, cybersecurity solutions, erp solutions, digital transformation, blockchain technology, data analytics & business intelligence","We at Techmatic Systems design and develop top-notch websites, applications, and provide innovative solutions for businesses. Explore our services today!"
2015,AdliveTech,25,http://www.adlivetech.com,information technology & services,"technical consultants, software services providers, web developers, web designers, mobile apps developer, crm developers, technical support from certified engineers, custom websites, data backup, hosting provider, application developer","Adlivetech is the best web development and website design company in Faridabad, Delhi/NCR.India. Leading and renowned Designing Company."
2015,techlene,97,http://www.techlene.com,information technology & services,"custom erp software development, big data analysis, hadoop, business anlaysis, manufacturing erp software, industrial erp software, retail analysis software, school management system, college management system, payroll management software, crm software, android development, big data solutions, big data services, java development, software development, python, custom business application development, custom mobile app development, custom mobile application development, erp software for electronics company, erp software for furniture company, erp software for plastics company, construction erp software, hospital management system, hrms software",Techlene is a cusom software development company that provides customized ERP solutions for various industries . We also helps with best IT Solutions for your business.
2015,Nonstop io,93,http://www.nonstopio.com,information technology & services,"mobile tech, web tech, software development, software consultancy, product developemnt, tech consultancy, flutter, react, angular, ui, ux, app development, aiml, python","NonStop specializes in custom software development for Web & Mobile using Flutter, Python, Go, React, Angular and AI. We deliver world-class software experiences."
2015,Patoliya Infotech,51,http://www.patoliyainfotech.com,information technology & services,"php application development, hybrid mobile application development, net application development, mean stack development, virtual staffing, mobile application development, web application development, artificial intelligence, machine learning, android apps development, ecommerce development",Embrace the transformative potential of technology with our dedicated team of experts. Start unlocking your digital possibilities right now!
2015,Criador Design Labs,13,http://www.criadorlabs.com,design,"internet of things, product design, new product development, industrial design, consumer goods, design, consumers, prototype, designresearch, technology","Criador Labs is one of the leading Product Design Companies in India. We offer end-to-end Product Design and Manufacturing services. Our services include Industrial Design, Engineering Design, Prototyping, and Manufacturing. Contact us now!"
